usuario,ubicacion,total_resenas_usuario,puntuacion,fecha,titulo,texto_comentario,fecha_sistema,texto_para_analisis,texto_limpio,texto_original,texto_sin_stopwords,texto_comentario_limpio,texto_comentario_sin_stopwords,tokens,tokens_sin_stopwords,num_palabras,num_palabras_limpias,longitud_comentario,conteo_palabras_unicas,num_resenas_usuario_total,polarity,subjectivity,sentiment,emocion_predominante,longitud_texto,segmento_usuario
la posada de hogsmeade,ES,34opiniones,1,2025-12-13T14:46:05.000Z,realmente horrible para iniciar tu…,realmente horrible para iniciar tu cuenta dios mio llevo 2 horas luchando con los correos que te mandan es imposible todo el rato verificación tras verificacióny eso que era para entrar a linkedlin y subir un libro.......señores mejoren ese tema yo me voy a otro lugar aqui es imposible,2025-12-22 14:23:44,realmente horrible para iniciar tu…. realmente horrible para iniciar tu cuenta dios mio llevo 2 horas luchando con los correos que te mandan es imposible todo el rato verificación tras verificacióny eso que era para entrar a linkedlin y subir un libro.......señores mejoren ese tema yo me voy a otro lugar aqui es imposible,realmente horrible iniciar realmente horrible iniciar cuenta dios mio llevo horas luchando correos mandan imposible rato verificacion tras verificaciony entrar linkedlin subir libro senores mejoren tema voy lugar aqui imposible,realmente horrible para iniciar tu…. realmente horrible para iniciar tu cuenta dios mio llevo 2 horas luchando con los correos que te mandan es imposible todo el rato verificación tras verificacióny eso que era para entrar a linkedlin y subir un libro.......señores mejoren ese tema yo me voy a otro lugar aqui es imposible,realmente horrible iniciar realmente horrible iniciar cuenta dios mio llevo horas luchando correos mandan imposible rato verificacion tras verificaciony entrar linkedlin subir libro senores mejoren tema voy lugar aqui imposible,realmente horrible para iniciar tu realmente horrible para iniciar tu cuenta dios mio llevo horas luchando con los correos que te mandan es imposible todo el rato verificacion tras verificaciony eso que era para entrar a linkedlin y subir un libro senores mejoren ese tema yo me voy a otro lugar aqui es imposible,realmente horrible iniciar realmente horrible iniciar cuenta dios mio llevo horas luchando correos mandan imposible rato verificacion tras verificaciony entrar linkedlin subir libro senores mejoren tema voy lugar aqui imposible,"['realmente', 'horrible', 'para', 'iniciar', 'tu', 'realmente', 'horrible', 'para', 'iniciar', 'tu', 'cuenta', 'dios', 'mio', 'llevo', 'horas', 'luchando', 'con', 'los', 'correos', 'que', 'te', 'mandan', 'es', 'imposible', 'todo', 'el', 'rato', 'verificacion', 'tras', 'verificaciony', 'eso', 'que', 'era', 'para', 'entrar', 'a', 'linkedlin', 'y', 'subir', 'un', 'libro', 'senores', 'mejoren', 'ese', 'tema', 'yo', 'me', 'voy', 'a', 'otro', 'lugar', 'aqui', 'es', 'imposible']","['realmente', 'horrible', 'iniciar', 'realmente', 'horrible', 'iniciar', 'cuenta', 'dios', 'mio', 'llevo', 'horas', 'luchando', 'correos', 'mandan', 'imposible', 'rato', 'verificacion', 'tras', 'verificaciony', 'entrar', 'linkedlin', 'subir', 'libro', 'senores', 'mejoren', 'tema', 'voy', 'lugar', 'aqui', 'imposible']",30,30,286,26,34,-1.0,1.0,Negativo,negativas,227,Experto (>10)
Javi,ES,2opiniones,1,2025-12-12T22:22:03.000Z,Lamentable,"14 días esperando la devolución del dinero. 14 días hace que devolví el producto. Unos cuantos chats, unos cuantos emails pero nada de nada.260,33€ que me deben estos sinvergüenzas de Amazon. Y tienen la cara dura de decirme que espere a final de año.No compréis más aquí. Son unos estafadores.",2025-12-22 14:23:47,"Lamentable. 14 días esperando la devolución del dinero. 14 días hace que devolví el producto. Unos cuantos chats, unos cuantos emails pero nada de nada.260,33€ que me deben estos sinvergüenzas de Amazon. Y tienen la cara dura de decirme que espere a final de año.No compréis más aquí. Son unos estafadores.",lamentable dias esperando devolucion dinero dias devolvi cuantos chats cuantos emails deben sinverguenzas cara dura decirme espere final ano compreis aqui estafadores,"Lamentable. 14 días esperando la devolución del dinero. 14 días hace que devolví el producto. Unos cuantos chats, unos cuantos emails pero nada de nada.260,33€ que me deben estos sinvergüenzas de Amazon. Y tienen la cara dura de decirme que espere a final de año.No compréis más aquí. Son unos estafadores.",lamentable dias esperando devolucion dinero dias devolvi cuantos chats cuantos emails deben sinverguenzas cara dura decirme espere final ano compreis aqui estafadores,lamentable dias esperando la devolucion del dinero dias hace que devolvi el producto unos cuantos chats unos cuantos emails pero nada de nada que me deben estos sinverguenzas de amazon y tienen la cara dura de decirme que espere a final de ano no compreis mas aqui son unos estafadores,lamentable dias esperando devolucion dinero dias devolvi cuantos chats cuantos emails deben sinverguenzas cara dura decirme espere final ano compreis aqui estafadores,"['lamentable', 'dias', 'esperando', 'la', 'devolucion', 'del', 'dinero', 'dias', 'hace', 'que', 'devolvi', 'el', 'producto', 'unos', 'cuantos', 'chats', 'unos', 'cuantos', 'emails', 'pero', 'nada', 'de', 'nada', 'que', 'me', 'deben', 'estos', 'sinverguenzas', 'de', 'amazon', 'y', 'tienen', 'la', 'cara', 'dura', 'de', 'decirme', 'que', 'espere', 'a', 'final', 'de', 'ano', 'no', 'compreis', 'mas', 'aqui', 'son', 'unos', 'estafadores']","['lamentable', 'dias', 'esperando', 'devolucion', 'dinero', 'dias', 'devolvi', 'cuantos', 'chats', 'cuantos', 'emails', 'deben', 'sinverguenzas', 'cara', 'dura', 'decirme', 'espere', 'final', 'ano', 'compreis', 'aqui', 'estafadores']",22,22,294,20,2,0.0,1.0,Neutral,neutral,166,Casual (2-3)
Lola Franco,ES,7opiniones,5,2025-12-12T18:58:00.000Z,Amazon,"Amazon, nunca falla, es rápido, eficaz y los repartidores son amables.Gracias",2025-12-22 14:23:47,"Amazon. Amazon, nunca falla, es rápido, eficaz y los repartidores son amables.Gracias",nunca falla rapido eficaz repartidores amables gracias,"Amazon. Amazon, nunca falla, es rápido, eficaz y los repartidores son amables.Gracias",nunca falla rapido eficaz repartidores amables gracias,amazon amazon nunca falla es rapido eficaz y los repartidores son amables gracias,nunca falla rapido eficaz repartidores amables gracias,"['amazon', 'amazon', 'nunca', 'falla', 'es', 'rapido', 'eficaz', 'y', 'los', 'repartidores', 'son', 'amables', 'gracias']","['nunca', 'falla', 'rapido', 'eficaz', 'repartidores', 'amables', 'gracias']",7,7,77,7,7,0.0,0.0,Neutral,neutral,54,Frecuente (4-10)
Sofía Fondón,ES,2opiniones,1,2025-12-12T15:05:04.000Z,"Pésima atención, engaño","Te dicen y se comprometen en Atención al Cliente por escrito y luego ellos mismos dicen que eso no es cierto, después de mil  mensajes mareando.  Pésima experiencia y servicio al cliente, engaño y pérdida de tiempo",2025-12-22 14:23:47,"Pésima atención, engaño. Te dicen y se comprometen en Atención al Cliente por escrito y luego ellos mismos dicen que eso no es cierto, después de mil  mensajes mareando.  Pésima experiencia y servicio al cliente, engaño y pérdida de tiempo",pesima atencion engano dicen comprometen atencion cliente escrito luego mismos dicen cierto despues mil mensajes mareando pesima experiencia servicio cliente engano perdida tiempo,"Pésima atención, engaño. Te dicen y se comprometen en Atención al Cliente por escrito y luego ellos mismos dicen que eso no es cierto, después de mil  mensajes mareando.  Pésima experiencia y servicio al cliente, engaño y pérdida de tiempo",pesima atencion engano dicen comprometen atencion cliente escrito luego mismos dicen cierto despues mil mensajes mareando pesima experiencia servicio cliente engano perdida tiempo,pesima atencion engano te dicen y se comprometen en atencion al cliente por escrito y luego ellos mismos dicen que eso no es cierto despues de mil mensajes mareando pesima experiencia y servicio al cliente engano y perdida de tiempo,pesima atencion engano dicen comprometen atencion cliente escrito luego mismos dicen cierto despues mil mensajes mareando pesima experiencia servicio cliente engano perdida tiempo,"['pesima', 'atencion', 'engano', 'te', 'dicen', 'y', 'se', 'comprometen', 'en', 'atencion', 'al', 'cliente', 'por', 'escrito', 'y', 'luego', 'ellos', 'mismos', 'dicen', 'que', 'eso', 'no', 'es', 'cierto', 'despues', 'de', 'mil', 'mensajes', 'mareando', 'pesima', 'experiencia', 'y', 'servicio', 'al', 'cliente', 'engano', 'y', 'perdida', 'de', 'tiempo']","['pesima', 'atencion', 'engano', 'dicen', 'comprometen', 'atencion', 'cliente', 'escrito', 'luego', 'mismos', 'dicen', 'cierto', 'despues', 'mil', 'mensajes', 'mareando', 'pesima', 'experiencia', 'servicio', 'cliente', 'engano', 'perdida', 'tiempo']",23,23,214,18,2,0.0,0.0,Neutral,neutral,179,Casual (2-3)
Cararil Lion,ES,8opiniones,1,2025-12-12T14:33:37.000Z,No entregan los pedidos,"He comprado un producto con el Blackfraide el 01 de diciembre.Aún no lo he recibido porque pasan por la empresa PAACK, que no entregan nunca los pedidos.Dicen que se ha perdido,🤣🤣🤣.Al final hay que asperar unos días que ellos han decidido.Para cobrarte es más rápido.",2025-12-22 14:23:47,"No entregan los pedidos. He comprado un producto con el Blackfraide el 01 de diciembre.Aún no lo he recibido porque pasan por la empresa PAACK, que no entregan nunca los pedidos.Dicen que se ha perdido,🤣🤣🤣.Al final hay que asperar unos días que ellos han decidido.Para cobrarte es más rápido.",entregan pedidos comprado blackfraide diciembre aun recibido pasan empresa paack entregan nunca pedidos dicen perdido final asperar dias decidido cobrarte rapido,"No entregan los pedidos. He comprado un producto con el Blackfraide el 01 de diciembre.Aún no lo he recibido porque pasan por la empresa PAACK, que no entregan nunca los pedidos.Dicen que se ha perdido,🤣🤣🤣.Al final hay que asperar unos días que ellos han decidido.Para cobrarte es más rápido.",entregan pedidos comprado blackfraide diciembre aun recibido pasan empresa paack entregan nunca pedidos dicen perdido final asperar dias decidido cobrarte rapido,no entregan los pedidos he comprado un producto con el blackfraide el de diciembre aun no lo he recibido porque pasan por la empresa paack que no entregan nunca los pedidos dicen que se ha perdido al final hay que asperar unos dias que ellos han decidido para cobrarte es mas rapido,entregan pedidos comprado blackfraide diciembre aun recibido pasan empresa paack entregan nunca pedidos dicen perdido final asperar dias decidido cobrarte rapido,"['no', 'entregan', 'los', 'pedidos', 'he', 'comprado', 'un', 'producto', 'con', 'el', 'blackfraide', 'el', 'de', 'diciembre', 'aun', 'no', 'lo', 'he', 'recibido', 'porque', 'pasan', 'por', 'la', 'empresa', 'paack', 'que', 'no', 'entregan', 'nunca', 'los', 'pedidos', 'dicen', 'que', 'se', 'ha', 'perdido', 'al', 'final', 'hay', 'que', 'asperar', 'unos', 'dias', 'que', 'ellos', 'han', 'decidido', 'para', 'cobrarte', 'es', 'mas', 'rapido']","['entregan', 'pedidos', 'comprado', 'blackfraide', 'diciembre', 'aun', 'recibido', 'pasan', 'empresa', 'paack', 'entregan', 'nunca', 'pedidos', 'dicen', 'perdido', 'final', 'asperar', 'dias', 'decidido', 'cobrarte', 'rapido']",21,21,267,19,8,0.0,1.0,Neutral,neutral,161,Frecuente (4-10)
Manuel Ramírez Madueño,ES,1opinión,1,2025-12-12T01:12:10.000Z,Amazon Prime,"Amazon Prime y los paquetes tengo que buscarlos yo en el punto que ellos (Seur) ponen por no decir los reembolsos de 14 días que tengo ultimo desde día 3 y nada. Yo no le pagué en 14 días a ellos, para comprarlo",2025-12-22 14:23:47,"Amazon Prime. Amazon Prime y los paquetes tengo que buscarlos yo en el punto que ellos (Seur) ponen por no decir los reembolsos de 14 días que tengo ultimo desde día 3 y nada. Yo no le pagué en 14 días a ellos, para comprarlo",prime prime paquetes buscarlos punto seur ponen decir reembolsos dias ultimo dia pague dias comprarlo,"Amazon Prime. Amazon Prime y los paquetes tengo que buscarlos yo en el punto que ellos (Seur) ponen por no decir los reembolsos de 14 días que tengo ultimo desde día 3 y nada. Yo no le pagué en 14 días a ellos, para comprarlo",prime prime paquetes buscarlos punto seur ponen decir reembolsos dias ultimo dia pague dias comprarlo,amazon prime amazon prime y los paquetes tengo que buscarlos yo en el punto que ellos seur ponen por no decir los reembolsos de dias que tengo ultimo desde dia y nada yo no le pague en dias a ellos para comprarlo,prime prime paquetes buscarlos punto seur ponen decir reembolsos dias ultimo dia pague dias comprarlo,"['amazon', 'prime', 'amazon', 'prime', 'y', 'los', 'paquetes', 'tengo', 'que', 'buscarlos', 'yo', 'en', 'el', 'punto', 'que', 'ellos', 'seur', 'ponen', 'por', 'no', 'decir', 'los', 'reembolsos', 'de', 'dias', 'que', 'tengo', 'ultimo', 'desde', 'dia', 'y', 'nada', 'yo', 'no', 'le', 'pague', 'en', 'dias', 'a', 'ellos', 'para', 'comprarlo']","['prime', 'prime', 'paquetes', 'buscarlos', 'punto', 'seur', 'ponen', 'decir', 'reembolsos', 'dias', 'ultimo', 'dia', 'pague', 'dias', 'comprarlo']",15,15,211,13,1,0.0,0.0,Neutral,neutral,101,Nuevo (1)
Jonathan Ortega Villarreal,ES,1opinión,1,2025-12-12T00:08:21.000Z,Conductores de Amazon,Amazon son unos explotadores sobre sus conductor y encima acusan  de que roban gasoil y no tienen casi españoles trabajando porque están esplotados trabajas 10horas y te pagan 8 son unos sinvergüenzas sobré todo Carlos el jefe de flota de otl tener cuidado con ese personaje que se cree qué es el jefe de España cuando es un pobrecito inmigrante,2025-12-22 14:23:47,Conductores de Amazon. Amazon son unos explotadores sobre sus conductor y encima acusan  de que roban gasoil y no tienen casi españoles trabajando porque están esplotados trabajas 10horas y te pagan 8 son unos sinvergüenzas sobré todo Carlos el jefe de flota de otl tener cuidado con ese personaje que se cree qué es el jefe de España cuando es un pobrecito inmigrante,conductores explotadores conductor encima acusan roban gasoil casi espanoles trabajando estan esplotados trabajas horas pagan sinverguenzas carlos jefe flota otl tener cuidado personaje cree jefe espana pobrecito inmigrante,Conductores de Amazon. Amazon son unos explotadores sobre sus conductor y encima acusan  de que roban gasoil y no tienen casi españoles trabajando porque están esplotados trabajas 10horas y te pagan 8 son unos sinvergüenzas sobré todo Carlos el jefe de flota de otl tener cuidado con ese personaje que se cree qué es el jefe de España cuando es un pobrecito inmigrante,conductores explotadores conductor encima acusan roban gasoil casi espanoles trabajando estan esplotados trabajas horas pagan sinverguenzas carlos jefe flota otl tener cuidado personaje cree jefe espana pobrecito inmigrante,conductores de amazon amazon son unos explotadores sobre sus conductor y encima acusan de que roban gasoil y no tienen casi espanoles trabajando porque estan esplotados trabajas horas y te pagan son unos sinverguenzas sobre todo carlos el jefe de flota de otl tener cuidado con ese personaje que se cree que es el jefe de espana cuando es un pobrecito inmigrante,conductores explotadores conductor encima acusan roban gasoil casi espanoles trabajando estan esplotados trabajas horas pagan sinverguenzas carlos jefe flota otl tener cuidado personaje cree jefe espana pobrecito inmigrante,"['conductores', 'de', 'amazon', 'amazon', 'son', 'unos', 'explotadores', 'sobre', 'sus', 'conductor', 'y', 'encima', 'acusan', 'de', 'que', 'roban', 'gasoil', 'y', 'no', 'tienen', 'casi', 'espanoles', 'trabajando', 'porque', 'estan', 'esplotados', 'trabajas', 'horas', 'y', 'te', 'pagan', 'son', 'unos', 'sinverguenzas', 'sobre', 'todo', 'carlos', 'el', 'jefe', 'de', 'flota', 'de', 'otl', 'tener', 'cuidado', 'con', 'ese', 'personaje', 'que', 'se', 'cree', 'que', 'es', 'el', 'jefe', 'de', 'espana', 'cuando', 'es', 'un', 'pobrecito', 'inmigrante']","['conductores', 'explotadores', 'conductor', 'encima', 'acusan', 'roban', 'gasoil', 'casi', 'espanoles', 'trabajando', 'estan', 'esplotados', 'trabajas', 'horas', 'pagan', 'sinverguenzas', 'carlos', 'jefe', 'flota', 'otl', 'tener', 'cuidado', 'personaje', 'cree', 'jefe', 'espana', 'pobrecito', 'inmigrante']",28,28,345,27,1,0.0,0.0,Neutral,neutral,223,Nuevo (1)
Sergi Canalís Cobos,ES,2opiniones,1,2025-12-11T23:19:27.000Z,Repartidor de Amazon lanza producto sin llamar a casa,"No és el primer productor que compro en Amazon, però sí la primera vez que me realizan una entrega, sin llamar (según ellos lo hicieron pero no había nadie en casa -estaba mi hijo-), y resulta que llegó a casa y me encuentro mi pedido en medio de las escaleras tras haber sido lanzado.Por lo visto, a los señores del reparto, les prima más parar, lanzar el producto (sin tener la más mínima idea de lo que es) y no llamar al timbre; que hacerlo y realizar una entrega en condiciones. No. Ellos a cobrar por entrega y nuestra compra, si se daña, no es cosa de ellos. Si yo no estaba en casa, ¿cómo es que no me han llamado como antes para concertar  una nueva fecha de entrega y opción?Resulta que mi compra era una tablet para regalar. Espero que no se haya dañado por el hecho de haber sido lanzada en su embalaje, pues procederé a  devolverla. Lo que sí es seguro, es que no vuelvo a comprar nada en Amazon por rápido que llegue.",2025-12-22 14:23:47,"Repartidor de Amazon lanza producto sin llamar a casa. No és el primer productor que compro en Amazon, però sí la primera vez que me realizan una entrega, sin llamar (según ellos lo hicieron pero no había nadie en casa -estaba mi hijo-), y resulta que llegó a casa y me encuentro mi pedido en medio de las escaleras tras haber sido lanzado.Por lo visto, a los señores del reparto, les prima más parar, lanzar el producto (sin tener la más mínima idea de lo que es) y no llamar al timbre; que hacerlo y realizar una entrega en condiciones. No. Ellos a cobrar por entrega y nuestra compra, si se daña, no es cosa de ellos. Si yo no estaba en casa, ¿cómo es que no me han llamado como antes para concertar  una nueva fecha de entrega y opción?Resulta que mi compra era una tablet para regalar. Espero que no se haya dañado por el hecho de haber sido lanzada en su embalaje, pues procederé a  devolverla. Lo que sí es seguro, es que no vuelvo a comprar nada en Amazon por rápido que llegue.",repartidor lanza llamar casa primer productor compro primera realizan entrega llamar segun hicieron habia nadie casa hijo resulta llego casa encuentro pedido medio escaleras tras haber sido lanzado visto senores reparto prima parar lanzar tener minima idea llamar timbre hacerlo realizar entrega condiciones cobrar entrega compra dana cosa casa llamado concertar nueva fecha entrega opcion resulta compra tablet regalar espero danado hecho haber sido lanzada embalaje pues procedere devolverla seguro vuelvo comprar rapido llegue,"Repartidor de Amazon lanza producto sin llamar a casa. No és el primer productor que compro en Amazon, però sí la primera vez que me realizan una entrega, sin llamar (según ellos lo hicieron pero no había nadie en casa -estaba mi hijo-), y resulta que llegó a casa y me encuentro mi pedido en medio de las escaleras tras haber sido lanzado.Por lo visto, a los señores del reparto, les prima más parar, lanzar el producto (sin tener la más mínima idea de lo que es) y no llamar al timbre; que hacerlo y realizar una entrega en condiciones. No. Ellos a cobrar por entrega y nuestra compra, si se daña, no es cosa de ellos. Si yo no estaba en casa, ¿cómo es que no me han llamado como antes para concertar  una nueva fecha de entrega y opción?Resulta que mi compra era una tablet para regalar. Espero que no se haya dañado por el hecho de haber sido lanzada en su embalaje, pues procederé a  devolverla. Lo que sí es seguro, es que no vuelvo a comprar nada en Amazon por rápido que llegue.",repartidor lanza llamar casa primer productor compro primera realizan entrega llamar segun hicieron habia nadie casa hijo resulta llego casa encuentro pedido medio escaleras tras haber sido lanzado visto senores reparto prima parar lanzar tener minima idea llamar timbre hacerlo realizar entrega condiciones cobrar entrega compra dana cosa casa llamado concertar nueva fecha entrega opcion resulta compra tablet regalar espero danado hecho haber sido lanzada embalaje pues procedere devolverla seguro vuelvo comprar rapido llegue,repartidor de amazon lanza producto sin llamar a casa no es el primer productor que compro en amazon pero si la primera vez que me realizan una entrega sin llamar segun ellos lo hicieron pero no habia nadie en casa estaba mi hijo y resulta que llego a casa y me encuentro mi pedido en medio de las escaleras tras haber sido lanzado por lo visto a los senores del reparto les prima mas parar lanzar el producto sin tener la mas minima idea de lo que es y no llamar al timbre que hacerlo y realizar una entrega en condiciones no ellos a cobrar por entrega y nuestra compra si se dana no es cosa de ellos si yo no estaba en casa como es que no me han llamado como antes para concertar una nueva fecha de entrega y opcion resulta que mi compra era una tablet para regalar espero que no se haya danado por el hecho de haber sido lanzada en su embalaje pues procedere a devolverla lo que si es seguro es que no vuelvo a comprar nada en amazon por rapido que llegue,repartidor lanza llamar casa primer productor compro primera realizan entrega llamar segun hicieron habia nadie casa hijo resulta llego casa encuentro pedido medio escaleras tras haber sido lanzado visto senores reparto prima parar lanzar tener minima idea llamar timbre hacerlo realizar entrega condiciones cobrar entrega compra dana cosa casa llamado concertar nueva fecha entrega opcion resulta compra tablet regalar espero danado hecho haber sido lanzada embalaje pues procedere devolverla seguro vuelvo comprar rapido llegue,"['repartidor', 'de', 'amazon', 'lanza', 'producto', 'sin', 'llamar', 'a', 'casa', 'no', 'es', 'el', 'primer', 'productor', 'que', 'compro', 'en', 'amazon', 'pero', 'si', 'la', 'primera', 'vez', 'que', 'me', 'realizan', 'una', 'entrega', 'sin', 'llamar', 'segun', 'ellos', 'lo', 'hicieron', 'pero', 'no', 'habia', 'nadie', 'en', 'casa', 'estaba', 'mi', 'hijo', 'y', 'resulta', 'que', 'llego', 'a', 'casa', 'y', 'me', 'encuentro', 'mi', 'pedido', 'en', 'medio', 'de', 'las', 'escaleras', 'tras', 'haber', 'sido', 'lanzado', 'por', 'lo', 'visto', 'a', 'los', 'senores', 'del', 'reparto', 'les', 'prima', 'mas', 'parar', 'lanzar', 'el', 'producto', 'sin', 'tener', 'la', 'mas', 'minima', 'idea', 'de', 'lo', 'que', 'es', 'y', 'no', 'llamar', 'al', 'timbre', 'que', 'hacerlo', 'y', 'realizar', 'una', 'entrega', 'en', 'condiciones', 'no', 'ellos', 'a', 'cobrar', 'por', 'entrega', 'y', 'nuestra', 'compra', 'si', 'se', 'dana', 'no', 'es', 'cosa', 'de', 'ellos', 'si', 'yo', 'no', 'estaba', 'en', 'casa', 'como', 'es', 'que', 'no', 'me', 'han', 'llamado', 'como', 'antes', 'para', 'concertar', 'una', 'nueva', 'fecha', 'de', 'entrega', 'y', 'opcion', 'resulta', 'que', 'mi', 'compra', 'era', 'una', 'tablet', 'para', 'regalar', 'espero', 'que', 'no', 'se', 'haya', 'danado', 'por', 'el', 'hecho', 'de', 'haber', 'sido', 'lanzada', 'en', 'su', 'embalaje', 'pues', 'procedere', 'a', 'devolverla', 'lo', 'que', 'si', 'es', 'seguro', 'es', 'que', 'no', 'vuelvo', 'a', 'comprar', 'nada', 'en', 'amazon', 'por', 'rapido', 'que', 'llegue']","['repartidor', 'lanza', 'llamar', 'casa', 'primer', 'productor', 'compro', 'primera', 'realizan', 'entrega', 'llamar', 'segun', 'hicieron', 'habia', 'nadie', 'casa', 'hijo', 'resulta', 'llego', 'casa', 'encuentro', 'pedido', 'medio', 'escaleras', 'tras', 'haber', 'sido', 'lanzado', 'visto', 'senores', 'reparto', 'prima', 'parar', 'lanzar', 'tener', 'minima', 'idea', 'llamar', 'timbre', 'hacerlo', 'realizar', 'entrega', 'condiciones', 'cobrar', 'entrega', 'compra', 'dana', 'cosa', 'casa', 'llamado', 'concertar', 'nueva', 'fecha', 'entrega', 'opcion', 'resulta', 'compra', 'tablet', 'regalar', 'espero', 'danado', 'hecho', 'haber', 'sido', 'lanzada', 'embalaje', 'pues', 'procedere', 'devolverla', 'seguro', 'vuelvo', 'comprar', 'rapido', 'llegue']",74,74,931,62,2,0.0,0.0,Neutral,neutral,529,Casual (2-3)
Jorge,ES,13opiniones,5,2025-12-11T22:00:39.000Z,Llevo años con la compañia y hace 5…,"Llevo años con la compañia y hace 5 años prime, no he tenido problemas graves y con respecto a vendedores externos hay que fijarse en la reputacion pues ahora hay unos cuantos vendehumos que amazon intenta eliminar, ha crecido tanto y automatizado la mayoria de servicios que ha caido en picado el servicio al cliente, unica pega, compro con precaucion e intuicion, de momento muy contento.",2025-12-22 14:23:47,"Llevo años con la compañia y hace 5…. Llevo años con la compañia y hace 5 años prime, no he tenido problemas graves y con respecto a vendedores externos hay que fijarse en la reputacion pues ahora hay unos cuantos vendehumos que amazon intenta eliminar, ha crecido tanto y automatizado la mayoria de servicios que ha caido en picado el servicio al cliente, unica pega, compro con precaucion e intuicion, de momento muy contento.",llevo anos compania llevo anos compania anos prime problemas graves respecto vendedores externos fijarse reputacion pues ahora cuantos vendehumos intenta eliminar crecido automatizado mayoria servicios caido picado servicio cliente unica pega compro precaucion intuicion momento contento,"Llevo años con la compañia y hace 5…. Llevo años con la compañia y hace 5 años prime, no he tenido problemas graves y con respecto a vendedores externos hay que fijarse en la reputacion pues ahora hay unos cuantos vendehumos que amazon intenta eliminar, ha crecido tanto y automatizado la mayoria de servicios que ha caido en picado el servicio al cliente, unica pega, compro con precaucion e intuicion, de momento muy contento.",llevo anos compania llevo anos compania anos prime problemas graves respecto vendedores externos fijarse reputacion pues ahora cuantos vendehumos intenta eliminar crecido automatizado mayoria servicios caido picado servicio cliente unica pega compro precaucion intuicion momento contento,llevo anos con la compania y hace llevo anos con la compania y hace anos prime no he tenido problemas graves y con respecto a vendedores externos hay que fijarse en la reputacion pues ahora hay unos cuantos vendehumos que amazon intenta eliminar ha crecido tanto y automatizado la mayoria de servicios que ha caido en picado el servicio al cliente unica pega compro con precaucion e intuicion de momento muy contento,llevo anos compania llevo anos compania anos prime problemas graves respecto vendedores externos fijarse reputacion pues ahora cuantos vendehumos intenta eliminar crecido automatizado mayoria servicios caido picado servicio cliente unica pega compro precaucion intuicion momento contento,"['llevo', 'anos', 'con', 'la', 'compania', 'y', 'hace', 'llevo', 'anos', 'con', 'la', 'compania', 'y', 'hace', 'anos', 'prime', 'no', 'he', 'tenido', 'problemas', 'graves', 'y', 'con', 'respecto', 'a', 'vendedores', 'externos', 'hay', 'que', 'fijarse', 'en', 'la', 'reputacion', 'pues', 'ahora', 'hay', 'unos', 'cuantos', 'vendehumos', 'que', 'amazon', 'intenta', 'eliminar', 'ha', 'crecido', 'tanto', 'y', 'automatizado', 'la', 'mayoria', 'de', 'servicios', 'que', 'ha', 'caido', 'en', 'picado', 'el', 'servicio', 'al', 'cliente', 'unica', 'pega', 'compro', 'con', 'precaucion', 'e', 'intuicion', 'de', 'momento', 'muy', 'contento']","['llevo', 'anos', 'compania', 'llevo', 'anos', 'compania', 'anos', 'prime', 'problemas', 'graves', 'respecto', 'vendedores', 'externos', 'fijarse', 'reputacion', 'pues', 'ahora', 'cuantos', 'vendehumos', 'intenta', 'eliminar', 'crecido', 'automatizado', 'mayoria', 'servicios', 'caido', 'picado', 'servicio', 'cliente', 'unica', 'pega', 'compro', 'precaucion', 'intuicion', 'momento', 'contento']",36,36,390,32,13,0.0,0.0,Neutral,negativas,287,Experto (>10)
Disalis,ES,13opiniones,5,2025-12-11T14:16:22.000Z,Eficiencia y buena gestión,"Rápido, con seguimiento real del pedido, buen packaging y producto tal como lo pedí.",2025-12-22 14:23:47,"Eficiencia y buena gestión. Rápido, con seguimiento real del pedido, buen packaging y producto tal como lo pedí.",eficiencia buena gestion rapido seguimiento real pedido buen packaging tal pedi,"Eficiencia y buena gestión. Rápido, con seguimiento real del pedido, buen packaging y producto tal como lo pedí.",eficiencia buena gestion rapido seguimiento real pedido buen packaging tal pedi,eficiencia y buena gestion rapido con seguimiento real del pedido buen packaging y producto tal como lo pedi,eficiencia buena gestion rapido seguimiento real pedido buen packaging tal pedi,"['eficiencia', 'y', 'buena', 'gestion', 'rapido', 'con', 'seguimiento', 'real', 'del', 'pedido', 'buen', 'packaging', 'y', 'producto', 'tal', 'como', 'lo', 'pedi']","['eficiencia', 'buena', 'gestion', 'rapido', 'seguimiento', 'real', 'pedido', 'buen', 'packaging', 'tal', 'pedi']",11,11,84,11,13,0.2,0.30000000000000004,Positivo,neutral,79,Experto (>10)
